anon_id,driverId,forename,surname,nationality,dob,points_per_race,avg_pit_ms,perf_score
Driver A,830,Max,Verstappen,Dutch,1997-09-30,20.636363636363637,120640.46808510639,19.42995895551257
Driver B,844,Charles,Leclerc,Monegasque,1997-10-16,14.0,129264.76744186046,12.707352325581395
Driver C,815,Sergio,Pérez,Mexican,1990-01-26,13.863636363636363,131369.69047619047,12.549939458874459
Driver D,847,George,Russell,British,1998-02-15,12.5,60500.604651162794,11.894993953488372
Driver E,832,Carlos,Sainz,Spanish,1994-09-01,11.181818181818182,143643.45714285714,9.74538361038961
Driver F,1,Lewis,Hamilton,British,1985-01-07,10.909090909090908,144233.81578947368,9.466752751196172
Driver G,846,Lando,Norris,British,1999-11-13,5.545454545454546,133363.42857142858,4.21182025974026
Driver H,839,Esteban,Ocon,French,1996-09-17,4.181818181818182,147885.33333333334,2.7029648484848483
Driver I,4,Fernando,Alonso,Spanish,1981-07-29,3.6818181818181817,144040.3947368421,2.2414142344497607
Driver J,822,Valtteri,Bottas,Finnish,1989-08-28,2.227272727272727,172745.03225806452,0.49982240469208183
Driver K,817,Daniel,Ricciardo,Australian,1989-07-01,1.6818181818181819,132748.11904761905,0.35433699134199137
Driver L,20,Sebastian,Vettel,German,1987-07-03,1.85,162892.12121212122,0.22107878787878787
Driver M,856,Nyck,de Vries,Dutch,1995-02-06,0.2857142857142857,24628.0,0.0394342857142857
Driver N,825,Kevin,Magnussen,Danish,1992-10-05,1.1363636363636365,120976.36111111111,-0.07339997474747473
Driver O,807,Nico,Hülkenberg,German,1987-08-19,0.0,25312.5,-0.253125
Driver P,842,Pierre,Gasly,French,1996-02-07,1.0454545454545454,133045.7857142857,-0.2850033116883117
Driver Q,848,Alexander,Albon,Thai,1996-03-23,0.18181818181818182,54369.84210526316,-0.36188023923444973
Driver R,855,Guanyu,Zhou,Chinese,1999-05-30,0.2727272727272727,67903.44444444444,-0.4063071717171717
Driver S,840,Lance,Stroll,Canadian,1998-10-29,0.8181818181818182,127873.77272727272,-0.46055590909090893
Driver T,854,Mick,Schumacher,German,1999-03-22,0.5454545454545454,111302.675,-0.5675722045454545
Driver U,852,Yuki,Tsunoda,Japanese,2000-05-11,0.5454545454545454,123340.80434782608,-0.6879534980237154
Driver V,849,Nicholas,Latifi,Canadian,1995-06-29,0.09090909090909091,120419.35416666667,-1.1132844507575759
